Loaded problem from /home/jordan/antoine/cuADMM/examples/plato/TXT/swissroll/
              vector length: 320400
      number of constraints: 3380
           number of blocks: 1
  number of non-zeros in At: 330537
   number of non-zeros in b: 3379
   number of non-zeros in C: 800

Analysis of the blk vector:
        1 matrices of size 800 (large)

Analysis of the large matrices sizes:
    size of large matrices: 800 
  number of large matrices:   1 
    total size of large matrices: 640000
  sum of sizes of large matrices: 800
    nb large (with multiplicity): 1
  large matrices start indices: 0 640000 

Analysis of the small matrices sizes:
    size of small matrices: 
  number of small matrices: 
    total size of small matrices: 0
  sum of sizes of small matrices: 0
    nb small (with multiplicity): 0
  small matrices start indices: 0 

 -------------------------------------------------------------------------------
                                    cuADMM
 -------------------------------------------------------------------------------
 norm of C = 2.9e+01, norm of b = 3.8e+02

  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma | 
 3300 | 1.17e-10 3.96e-02 | -2.5064e+05 -1.0042e+05 4.28e-01 |  67.0 | 4.5e+00 |
 3400 | 1.23e-10 3.90e-02 | -2.5915e+05 -1.0169e+05 4.36e-01 |  69.0 | 4.8e+00 |
 3500 | 1.31e-10 3.86e-02 | -2.6845e+05 -1.0336e+05 4.44e-01 |  71.0 | 5.0e+00 |
 3600 | 1.37e-10 3.83e-02 | -2.7792e+05 -1.0515e+05 4.51e-01 |  73.0 | 5.3e+00 |
 3700 | 1.43e-10 3.80e-02 | -2.8755e+05 -1.0695e+05 4.58e-01 |  75.0 | 5.5e+00 |
 3800 | 1.52e-10 3.77e-02 | -2.9739e+05 -1.0871e+05 4.65e-01 |  77.0 | 5.8e+00 |
 3900 | 1.53e-10 3.74e-02 | -3.0753e+05 -1.1044e+05 4.72e-01 |  79.0 | 6.1e+00 |
 4000 | 1.66e-10 3.70e-02 | -3.1807e+05 -1.1214e+05 4.79e-01 |  81.1 | 6.4e+00 |
 4100 | 1.71e-10 3.65e-02 | -3.2927e+05 -1.1389e+05 4.86e-01 |  83.1 | 6.7e+00 |
 4200 | 1.76e-10 3.60e-02 | -3.4155e+05 -1.1589e+05 4.93e-01 |  85.1 | 7.0e+00 |
 4300 | 1.94e-10 3.55e-02 | -3.5441e+05 -1.1826e+05 5.00e-01 |  87.1 | 7.4e+00 |
 4400 | 2.05e-10 3.52e-02 | -3.6750e+05 -1.2070e+05 5.06e-01 |  89.1 | 7.8e+00 |
 4500 | 2.22e-10 3.49e-02 | -3.8081e+05 -1.2313e+05 5.11e-01 |  91.2 | 8.1e+00 |
 4600 | 2.25e-10 3.46e-02 | -3.9439e+05 -1.2556e+05 5.17e-01 |  93.2 | 8.6e+00 |
 4700 | 2.32e-10 3.43e-02 | -4.0823e+05 -1.2800e+05 5.23e-01 |  95.2 | 9.0e+00 |
 4800 | 2.43e-10 3.41e-02 | -4.2232e+05 -1.3046e+05 5.28e-01 |  97.2 | 9.4e+00 |
 4900 | 2.48e-10 3.38e-02 | -4.3668e+05 -1.3288e+05 5.33e-01 |  99.2 | 9.9e+00 |
 5000 | 2.68e-10 3.36e-02 | -4.5132e+05 -1.3524e+05 5.39e-01 | 101.3 | 1.0e+01 |
 5100 | 2.91e-10 3.34e-02 | -4.6628e+05 -1.3754e+05 5.44e-01 | 103.3 | 1.1e+01 |
 5200 | 2.93e-10 3.32e-02 | -4.8161e+05 -1.3975e+05 5.50e-01 | 105.3 | 1.1e+01 |
 5300 | 3.13e-10 3.30e-02 | -4.9735e+05 -1.4189e+05 5.56e-01 | 107.3 | 1.2e+01 |
 5400 | 3.26e-10 3.28e-02 | -5.1359e+05 -1.4394e+05 5.62e-01 | 109.3 | 1.3e+01 |
 5500 | 3.50e-10 3.26e-02 | -5.3040e+05 -1.4593e+05 5.68e-01 | 111.4 | 1.3e+01 |
 5600 | 3.62e-10 3.24e-02 | -5.4782e+05 -1.4784e+05 5.75e-01 | 113.4 | 1.4e+01 |
 5700 | 3.74e-10 3.22e-02 | -5.6593e+05 -1.4968e+05 5.82e-01 | 115.4 | 1.5e+01 |
 5800 | 4.00e-10 3.20e-02 | -5.8487e+05 -1.5146e+05 5.89e-01 | 117.4 | 1.5e+01 |
 5900 | 4.11e-10 3.17e-02 | -6.0497e+05 -1.5324e+05 5.96e-01 | 119.4 | 1.6e+01 |
 6000 | 4.46e-10 3.14e-02 | -6.2640e+05 -1.5506e+05 6.03e-01 | 121.5 | 1.7e+01 |
 6100 | 4.66e-10 3.10e-02 | -6.4933e+05 -1.5690e+05 6.11e-01 | 123.5 | 1.8e+01 |
 6200 | 4.88e-10 3.05e-02 | -6.7435e+05 -1.5881e+05 6.19e-01 | 125.5 | 1.9e+01 |
 6300 | 5.21e-10 3.03e-02 | -7.0154e+05 -1.6091e+05 6.27e-01 | 127.5 | 2.0e+01 |
 6400 | 5.27e-10 3.00e-02 | -7.3040e+05 -1.6326e+05 6.35e-01 | 129.5 | 2.1e+01 |
 6500 | 5.85e-10 2.98e-02 | -7.6039e+05 -1.6585e+05 6.42e-01 | 131.6 | 2.2e+01 |
 6600 | 5.83e-10 2.96e-02 | -7.9135e+05 -1.6861e+05 6.49e-01 | 133.6 | 2.3e+01 |
 6700 | 5.87e-10 2.93e-02 | -8.2332e+05 -1.7147e+05 6.55e-01 | 135.6 | 2.4e+01 |
 6800 | 6.52e-10 2.91e-02 | -8.5640e+05 -1.7439e+05 6.62e-01 | 137.6 | 2.5e+01 |
 6900 | 7.05e-10 2.88e-02 | -8.9049e+05 -1.7735e+05 6.68e-01 | 139.6 | 2.6e+01 |
 7000 | 7.19e-10 2.86e-02 | -9.2559e+05 -1.8032e+05 6.74e-01 | 141.6 | 2.8e+01 |
 7100 | 7.24e-10 2.84e-02 | -9.6175e+05 -1.8329e+05 6.80e-01 | 143.6 | 2.9e+01 |
 7200 | 8.04e-10 2.82e-02 | -9.9902e+05 -1.8625e+05 6.86e-01 | 145.7 | 3.0e+01 |
 7300 | 8.31e-10 2.80e-02 | -1.0375e+06 -1.8921e+05 6.92e-01 | 147.7 | 3.2e+01 |
 7400 | 8.94e-10 2.78e-02 | -1.0772e+06 -1.9217e+05 6.97e-01 | 149.7 | 3.4e+01 |
 7500 | 9.17e-10 2.76e-02 | -1.1182e+06 -1.9512e+05 7.03e-01 | 151.7 | 3.5e+01 |
 7600 | 9.50e-10 2.75e-02 | -1.1606e+06 -1.9805e+05 7.08e-01 | 153.7 | 3.7e+01 |
 7700 | 1.02e-09 2.73e-02 | -1.2044e+06 -2.0097e+05 7.14e-01 | 155.7 | 3.9e+01 |
 7800 | 1.04e-09 2.71e-02 | -1.2496e+06 -2.0387e+05 7.19e-01 | 157.7 | 4.1e+01 |
 7900 | 1.12e-09 2.70e-02 | -1.2964e+06 -2.0674e+05 7.25e-01 | 159.7 | 4.3e+01 |
 8000 | 1.17e-09 2.68e-02 | -1.3447e+06 -2.0958e+05 7.30e-01 | 161.8 | 4.5e+01 |
 8100 | 1.21e-09 2.67e-02 | -1.3947e+06 -2.1239e+05 7.36e-01 | 163.8 | 4.7e+01 |
 8200 | 1.28e-09 2.66e-02 | -1.4463e+06 -2.1517e+05 7.41e-01 | 165.8 | 5.0e+01 |
 8300 | 1.35e-09 2.65e-02 | -1.4995e+06 -2.1792e+05 7.46e-01 | 167.8 | 5.2e+01 |
 8400 | 1.40e-09 2.63e-02 | -1.5545e+06 -2.2064e+05 7.51e-01 | 169.8 | 5.5e+01 |
 8500 | 1.46e-09 2.62e-02 | -1.6112e+06 -2.2331e+05 7.57e-01 | 171.8 | 5.7e+01 |
 8600 | 1.55e-09 2.61e-02 | -1.6697e+06 -2.2593e+05 7.62e-01 | 173.8 | 6.0e+01 |
 8700 | 1.63e-09 2.60e-02 | -1.7301e+06 -2.2851e+05 7.67e-01 | 175.8 | 6.3e+01 |
 8800 | 1.71e-09 2.59e-02 | -1.7924e+06 -2.3103e+05 7.72e-01 | 177.9 | 6.6e+01 |
 8900 | 1.88e-09 2.58e-02 | -1.8568e+06 -2.3350e+05 7.77e-01 | 179.9 | 7.0e+01 |
 9000 | 1.93e-09 2.58e-02 | -1.9232e+06 -2.3591e+05 7.81e-01 | 181.9 | 7.3e+01 |
 9100 | 2.02e-09 2.57e-02 | -1.9919e+06 -2.3827e+05 7.86e-01 | 183.9 | 7.7e+01 |
 9200 | 2.10e-09 2.56e-02 | -2.0629e+06 -2.4056e+05 7.91e-01 | 185.9 | 8.1e+01 |
 9300 | 2.22e-09 2.55e-02 | -2.1363e+06 -2.4279e+05 7.96e-01 | 187.9 | 8.5e+01 |
 9400 | 2.27e-09 2.55e-02 | -2.2122e+06 -2.4497e+05 8.01e-01 | 189.9 | 8.9e+01 |
 9500 | 2.45e-09 2.54e-02 | -2.2909e+06 -2.4708e+05 8.05e-01 | 191.9 | 9.3e+01 |
 9600 | 2.56e-09 2.53e-02 | -2.3723e+06 -2.4913e+05 8.10e-01 | 193.9 | 9.8e+01 |
 9700 | 2.73e-09 2.53e-02 | -2.4566e+06 -2.5111e+05 8.15e-01 | 195.9 | 1.0e+02 |
 9800 | 2.77e-09 2.52e-02 | -2.5440e+06 -2.5303e+05 8.19e-01 | 197.9 | 1.1e+02 |
 9900 | 2.88e-09 2.52e-02 | -2.6346e+06 -2.5489e+05 8.24e-01 | 199.9 | 1.1e+02 |
 10000 | 3.08e-09 2.51e-02 | -2.7286e+06 -2.5669e+05 8.28e-01 | 201.9 | 1.2e+02 |
 10100 | 3.25e-09 2.50e-02 | -2.8263e+06 -2.5843e+05 8.32e-01 | 203.9 | 1.3e+02 |
 10200 | 3.40e-09 2.50e-02 | -2.9277e+06 -2.6010e+05 8.37e-01 | 205.9 | 1.3e+02 |
 10300 | 3.66e-09 2.49e-02 | -3.0331e+06 -2.6170e+05 8.41e-01 | 207.9 | 1.4e+02 |
 10400 | 3.77e-09 2.49e-02 | -3.1428e+06 -2.6325e+05 8.45e-01 | 209.9 | 1.4e+02 |
 10500 | 3.94e-09 2.48e-02 | -3.2571e+06 -2.6473e+05 8.50e-01 | 212.0 | 1.5e+02 |
 10600 | 4.23e-09 2.48e-02 | -3.3763e+06 -2.6616e+05 8.54e-01 | 214.0 | 1.6e+02 |
 10700 | 4.23e-09 2.47e-02 | -3.5008e+06 -2.6752e+05 8.58e-01 | 216.0 | 1.7e+02 |
 10800 | 4.63e-09 2.46e-02 | -3.6310e+06 -2.6882e+05 8.62e-01 | 218.0 | 1.8e+02 |
 10900 | 4.64e-09 2.45e-02 | -3.7677e+06 -2.7006e+05 8.66e-01 | 220.0 | 1.9e+02 |

 switching to normal ADMM! 11000 | 4.01e+00 2.54e-02 | -3.9316e+06 -2.7123e+05 8.71e-01 | 222.0 | 1.9e+02 |
 11100 | 2.60e+00 2.40e-02 | -4.0961e+06 -2.7241e+05 8.75e-01 | 224.0 | 1.9e+02 |
 11200 | 2.68e+00 2.39e-02 | -4.1961e+06 -2.7448e+05 8.77e-01 | 226.0 | 1.2e+02 |
 11300 | 2.74e+00 2.38e-02 | -4.2558e+06 -2.7805e+05 8.77e-01 | 227.9 | 7.0e+01 |
 11400 | 2.78e+00 2.36e-02 | -4.2915e+06 -2.8409e+05 8.76e-01 | 229.9 | 4.2e+01 |
 11500 | 2.81e+00 2.33e-02 | -4.3127e+06 -2.9413e+05 8.72e-01 | 231.9 | 2.5e+01 |
 11600 | 2.84e+00 2.32e-02 | -4.3254e+06 -3.1086e+05 8.66e-01 | 233.9 | 1.5e+01 |
 11700 | 2.86e+00 2.34e-02 | -4.3327e+06 -3.3854e+05 8.55e-01 | 235.9 | 9.0e+00 |
 11800 | 2.87e+00 2.50e-02 | -4.3366e+06 -3.8420e+05 8.37e-01 | 237.8 | 5.4e+00 |
 11900 | 2.88e+00 3.06e-02 | -4.3384e+06 -4.5978e+05 8.08e-01 | 239.8 | 3.2e+00 |
 12000 | 2.88e+00 4.35e-02 | -4.3389e+06 -5.8501e+05 7.62e-01 | 241.8 | 1.9e+00 |
 12100 | 2.88e+00 6.75e-02 | -4.3387e+06 -7.9308e+05 6.91e-01 | 243.8 | 1.2e+00 |
 12200 | 2.88e+00 1.09e-01 | -4.3380e+06 -1.1394e+06 5.84e-01 | 245.7 | 7.0e-01 |
 12300 | 2.87e+00 1.78e-01 | -4.3370e+06 -1.7160e+06 4.33e-01 | 247.7 | 4.2e-01 |
 12400 | 2.87e+00 2.91e-01 | -4.3359e+06 -2.6765e+06 2.37e-01 | 249.7 | 2.5e-01 |
 12500 | 2.87e+00 4.77e-01 | -4.3347e+06 -4.2768e+06 6.72e-03 | 251.6 | 1.5e-01 |
 12600 | 2.86e+00 7.82e-01 | -4.3335e+06 -6.9435e+06 2.31e-01 | 253.6 | 9.0e-02 |
 12700 | 2.86e+00 1.28e+00 | -4.3322e+06 -1.1387e+07 4.49e-01 | 255.6 | 5.4e-02 |
 12800 | 2.86e+00 2.11e+00 | -4.3310e+06 -1.8792e+07 6.25e-01 | 257.5 | 3.2e-02 |
 12900 | 2.85e+00 3.47e+00 | -4.3297e+06 -3.1131e+07 7.56e-01 | 259.5 | 1.9e-02 |
 13000 | 2.85e+00 4.49e+00 | -4.3273e+06 -4.0772e+07 8.08e-01 | 261.4 | 3.2e-02 |
 13100 | 2.83e+00 5.04e+00 | -4.3227e+06 -4.6534e+07 8.30e-01 | 263.4 | 5.4e-02 |
 13200 | 2.81e+00 5.28e+00 | -4.3146e+06 -4.9970e+07 8.41e-01 | 265.4 | 9.0e-02 |
 13300 | 2.77e+00 5.33e+00 | -4.3013e+06 -5.2015e+07 8.47e-01 | 267.3 | 1.5e-01 |
 13400 | 2.72e+00 5.23e+00 | -4.2797e+06 -5.3231e+07 8.51e-01 | 269.3 | 2.5e-01 |
 13500 | 2.64e+00 5.01e+00 | -4.2458e+06 -5.3954e+07 8.54e-01 | 271.3 | 4.2e-01 |
 13600 | 2.58e+00 4.71e+00 | -4.1957e+06 -5.4388e+07 8.57e-01 | 273.2 | 7.0e-01 |
 13700 | 2.60e+00 4.34e+00 | -4.1197e+06 -5.4658e+07 8.60e-01 | 275.2 | 1.2e+00 |
 13800 | 3.00e+00 3.92e+00 | -3.9994e+06 -5.4835e+07 8.64e-01 | 277.2 | 1.9e+00 |
 13900 | 4.45e+00 3.40e+00 | -3.8136e+06 -5.4963e+07 8.70e-01 | 279.1 | 3.2e+00 |
 14000 | 4.99e+00 3.06e+00 | -3.6772e+06 -5.5170e+07 8.75e-01 | 281.1 | 1.9e+00 |
 14100 | 4.29e+00 3.09e+00 | -3.5969e+06 -5.5524e+07 8.78e-01 | 283.1 | 1.2e+00 |
 14200 | 3.65e+00 3.35e+00 | -3.5483e+06 -5.6062e+07 8.81e-01 | 285.0 | 7.0e-01 |
 14300 | 3.32e+00 3.71e+00 | -3.5188e+06 -5.6868e+07 8.83e-01 | 287.0 | 4.2e-01 |
 14400 | 3.10e+00 3.45e+00 | -3.4803e+06 -5.7444e+07 8.86e-01 | 289.0 | 7.0e-01 |
 14500 | 3.11e+00 3.00e+00 | -3.4161e+06 -5.7752e+07 8.88e-01 | 290.9 | 1.2e+00 |
 14600 | 3.24e+00 2.71e+00 | -3.3521e+06 -5.8023e+07 8.91e-01 | 292.9 | 9.0e-01 |
 14700 | 3.22e+00 2.75e+00 | -3.3138e+06 -5.8465e+07 8.93e-01 | 294.9 | 5.4e-01 |
 14800 | 3.11e+00 3.23e+00 | -3.2905e+06 -5.9219e+07 8.95e-01 | 296.9 | 3.2e-01 |
 14900 | 2.99e+00 3.22e+00 | -3.2597e+06 -5.9815e+07 8.97e-01 | 298.8 | 5.4e-01 |
 15000 | 3.01e+00 2.86e+00 | -3.2073e+06 -6.0166e+07 8.99e-01 | 300.8 | 9.0e-01 |
 15100 | 3.05e+00 2.63e+00 | -3.1663e+06 -6.0600e+07 9.01e-01 | 302.8 | 5.4e-01 |
 15200 | 2.98e+00 3.02e+00 | -3.1416e+06 -6.1314e+07 9.03e-01 | 304.7 | 3.2e-01 |
 15300 | 2.87e+00 3.63e+00 | -3.1220e+06 -6.2236e+07 9.04e-01 | 306.7 | 3.2e-01 |
 15400 | 2.82e+00 3.37e+00 | -3.0885e+06 -6.2775e+07 9.06e-01 | 308.7 | 5.4e-01 |
 15500 | 3.01e+00 2.89e+00 | -3.0321e+06 -6.3071e+07 9.08e-01 | 310.7 | 9.0e-01 |
 15600 | 3.15e+00 2.66e+00 | -2.9589e+06 -6.3271e+07 9.11e-01 | 312.6 | 9.0e-01 |
 15700 | 2.87e+00 3.00e+00 | -2.9142e+06 -6.3588e+07 9.12e-01 | 314.6 | 5.4e-01 |
 15800 | 2.57e+00 3.32e+00 | -2.8791e+06 -6.4002e+07 9.14e-01 | 316.6 | 5.4e-01 |
 15900 | 2.47e+00 2.96e+00 | -2.8208e+06 -6.4249e+07 9.16e-01 | 318.6 | 9.0e-01 |
 16000 | 2.72e+00 2.63e+00 | -2.7237e+06 -6.4382e+07 9.19e-01 | 320.5 | 1.5e+00 |
 16100 | 2.83e+00 2.53e+00 | -2.5981e+06 -6.4466e+07 9.23e-01 | 322.5 | 1.5e+00 |
 16200 | 2.53e+00 2.63e+00 | -2.5221e+06 -6.4590e+07 9.25e-01 | 324.5 | 9.0e-01 |
 16300 | 2.24e+00 2.74e+00 | -2.4632e+06 -6.4745e+07 9.27e-01 | 326.5 | 9.0e-01 |
 16400 | 2.19e+00 2.58e+00 | -2.3650e+06 -6.4828e+07 9.30e-01 | 328.4 | 1.5e+00 |
 16500 | 2.40e+00 2.47e+00 | -2.2013e+06 -6.4867e+07 9.34e-01 | 330.4 | 2.5e+00 |
 16600 | 2.46e+00 2.42e+00 | -1.9291e+06 -6.4880e+07 9.42e-01 | 332.4 | 4.2e+00 |
 16700 | 2.24e+00 2.42e+00 | -1.7171e+06 -6.4885e+07 9.48e-01 | 334.4 | 2.5e+00 |
 16800 | 1.92e+00 2.40e+00 | -1.4461e+06 -6.4878e+07 9.56e-01 | 336.3 | 4.2e+00 |
 16900 | 1.99e+00 2.38e+00 | -9.9750e+05 -6.4864e+07 9.70e-01 | 338.3 | 7.0e+00 |
 17000 | 3.60e+00 2.30e+00 | -2.7568e+05 -6.4856e+07 9.92e-01 | 340.3 | 1.2e+01 |
 17100 | 9.79e-01 5.29e-01 | -4.1846e+02 -6.4845e+07 1.00e+00 | 342.2 | 7.0e+00 |
 17200 | 9.84e-01 1.25e-02 | -4.9502e+01 -6.4760e+07 1.00e+00 | 344.2 | 4.2e+00 |
 17300 | 9.63e-01 1.01e-02 | -1.9588e+02 -6.4620e+07 1.00e+00 | 346.2 | 2.5e+00 |
 17400 | 9.00e-01 1.09e-02 | -4.6517e+02 -6.4397e+07 1.00e+00 | 348.1 | 1.5e+00 |
 17500 | 8.44e-01 3.37e-02 | -1.1393e+03 -6.4051e+07 1.00e+00 | 350.1 | 9.0e-01 |
 17600 | 8.13e-01 6.62e-02 | -1.7532e+03 -6.3507e+07 1.00e+00 | 352.1 | 5.4e-01 |
 17700 | 7.90e-01 4.55e-02 | -2.1233e+03 -6.2633e+07 1.00e+00 | 354.1 | 3.2e-01 |
 17800 | 7.66e-01 7.17e-02 | -2.3366e+03 -6.1233e+07 1.00e+00 | 356.0 | 1.9e-01 |
 17900 | 7.40e-01 1.18e-01 | -2.5739e+03 -5.9027e+07 1.00e+00 | 358.0 | 1.2e-01 |
 18000 | 7.03e-01 2.51e-01 | -3.0277e+03 -5.5593e+07 1.00e+00 | 360.0 | 7.0e-02 |
 18100 | 6.38e-01 6.46e-01 | -3.7610e+03 -5.0501e+07 1.00e+00 | 361.9 | 4.2e-02 |
 18200 | 5.91e-01 5.52e-01 | -4.4564e+03 -4.6214e+07 1.00e+00 | 363.9 | 4.2e-02 |
 18300 | 5.46e-01 5.73e-01 | -5.3851e+03 -4.1430e+07 1.00e+00 | 365.9 | 4.2e-02 |
 18400 | 5.18e-01 3.13e-01 | -6.2806e+03 -3.8570e+07 1.00e+00 | 367.9 | 5.4e-02 |
 18500 | 4.81e-01 6.00e-01 | -7.2115e+03 -3.4822e+07 1.00e+00 | 369.8 | 3.2e-02 |
 18600 | 4.57e-01 3.09e-01 | -8.2089e+03 -3.2231e+07 9.99e-01 | 371.8 | 5.4e-02 |
 18700 | 4.28e-01 5.16e-01 | -9.0528e+03 -2.9263e+07 9.99e-01 | 373.8 | 3.2e-02 |
 18800 | 4.08e-01 3.41e-01 | -1.0023e+04 -2.7195e+07 9.99e-01 | 375.8 | 5.4e-02 |
 18900 | 3.85e-01 5.31e-01 | -1.0876e+04 -2.4811e+07 9.99e-01 | 377.7 | 3.2e-02 |
 19000 | 3.67e-01 3.49e-01 | -1.1920e+04 -2.3143e+07 9.99e-01 | 379.7 | 5.4e-02 |
 19100 | 3.55e-01 2.82e-01 | -1.2893e+04 -2.1956e+07 9.99e-01 | 381.7 | 5.4e-02 |
 19200 | 3.35e-01 4.72e-01 | -1.3637e+04 -2.0141e+07 9.99e-01 | 383.7 | 3.2e-02 |
 19300 | 3.21e-01 3.13e-01 | -1.4423e+04 -1.8861e+07 9.98e-01 | 385.6 | 5.4e-02 |
 19400 | 3.11e-01 2.22e-01 | -1.5225e+04 -1.7944e+07 9.98e-01 | 387.6 | 5.4e-02 |
 19500 | 2.95e-01 3.41e-01 | -1.5866e+04 -1.6538e+07 9.98e-01 | 389.6 | 3.2e-02 |
 19600 | 2.83e-01 2.55e-01 | -1.6688e+04 -1.5542e+07 9.98e-01 | 391.5 | 5.4e-02 |
 19700 | 2.69e-01 3.33e-01 | -1.7315e+04 -1.4376e+07 9.98e-01 | 393.5 | 3.2e-02 |
 19800 | 2.58e-01 2.35e-01 | -1.8032e+04 -1.3548e+07 9.97e-01 | 395.5 | 5.4e-02 |
 19900 | 2.46e-01 3.37e-01 | -1.8580e+04 -1.2579e+07 9.97e-01 | 397.5 | 3.2e-02 |
 20000 | 2.36e-01 2.32e-01 | -1.9234e+04 -1.1888e+07 9.97e-01 | 399.4 | 5.4e-02 |
 20100 | 2.29e-01 2.03e-01 | -1.9992e+04 -1.1393e+07 9.96e-01 | 401.4 | 5.4e-02 |
 20200 | 2.19e-01 3.03e-01 | -2.0577e+04 -1.0631e+07 9.96e-01 | 403.4 | 3.2e-02 |
 20300 | 2.10e-01 2.23e-01 | -2.1302e+04 -1.0090e+07 9.96e-01 | 405.4 | 5.4e-02 |
 20400 | 2.04e-01 1.74e-01 | -2.2063e+04 -9.7003e+06 9.95e-01 | 407.3 | 5.4e-02 |
 20500 | 1.95e-01 2.36e-01 | -2.2594e+04 -9.0968e+06 9.95e-01 | 409.3 | 3.2e-02 |
