Loaded problem from /home/jordan/antoine/cuADMM/examples/plato/TXT/bqp-r1-40-1/
              vector length: 371091
      number of constraints: 269001
           number of blocks: 1
  number of non-zeros in At: 538001
   number of non-zeros in b: 1
   number of non-zeros in C: 860

Analysis of the blk vector:
        1 matrices of size 861 (large)

Analysis of the large matrices sizes:
    size of large matrices: 861 
  number of large matrices:   1 
    total size of large matrices: 741321
  sum of sizes of large matrices: 861
    nb large (with multiplicity): 1
  large matrices start indices: 0 741321 

Analysis of the small matrices sizes:
    size of small matrices: 
  number of small matrices: 
    total size of small matrices: 0
  sum of sizes of small matrices: 0
    nb small (with multiplicity): 0
  small matrices start indices: 0 

 -------------------------------------------------------------------------------
                                    cuADMM
 -------------------------------------------------------------------------------
 norm of C = 3.0e+01, norm of b = 2.0e+00

  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma | 
 5300 | 1.99e-13 2.37e-03 | -2.6154e+02 -2.4340e+02 3.59e-02 | 357.9 | 1.3e+01 |
 5400 | 2.43e-13 2.27e-03 | -2.6240e+02 -2.4516e+02 3.39e-02 | 365.0 | 1.4e+01 |
 5500 | 2.23e-13 2.17e-03 | -2.6322e+02 -2.4742e+02 3.09e-02 | 372.3 | 1.5e+01 |
 5600 | 3.15e-13 1.95e-03 | -2.6394e+02 -2.5127e+02 2.45e-02 | 379.0 | 1.5e+01 |
 5700 | 4.14e-13 1.65e-03 | -2.6453e+02 -2.5473e+02 1.88e-02 | 385.6 | 1.6e+01 |
 5800 | 4.21e-13 1.45e-03 | -2.6497e+02 -2.5743e+02 1.44e-02 | 390.9 | 1.7e+01 |
 5900 | 3.54e-13 1.39e-03 | -2.6539e+02 -2.5795e+02 1.42e-02 | 398.4 | 1.8e+01 |
 6000 | 3.27e-13 1.29e-03 | -2.6576e+02 -2.5901e+02 1.28e-02 | 405.6 | 1.9e+01 |
 6100 | 4.10e-13 1.28e-03 | -2.6613e+02 -2.5894e+02 1.37e-02 | 413.1 | 2.0e+01 |
 6200 | 3.41e-13 1.24e-03 | -2.6650e+02 -2.5931e+02 1.36e-02 | 420.0 | 2.1e+01 |
 6300 | 7.48e-13 1.22e-03 | -2.6688e+02 -2.5962e+02 1.38e-02 | 426.6 | 2.2e+01 |
 6400 | 4.55e-13 1.18e-03 | -2.6725e+02 -2.6024e+02 1.33e-02 | 433.5 | 2.3e+01 |
 6500 | 4.97e-13 1.14e-03 | -2.6762e+02 -2.6075e+02 1.30e-02 | 439.1 | 2.4e+01 |
 6600 | 4.20e-13 1.14e-03 | -2.6800e+02 -2.6067e+02 1.38e-02 | 446.4 | 2.5e+01 |
 6700 | 4.16e-13 1.12e-03 | -2.6839e+02 -2.6086e+02 1.42e-02 | 453.6 | 2.6e+01 |
 6800 | 7.01e-13 1.09e-03 | -2.6878e+02 -2.6137e+02 1.39e-02 | 460.8 | 2.8e+01 |
 6900 | 6.19e-13 1.09e-03 | -2.6919e+02 -2.6123e+02 1.50e-02 | 467.6 | 2.9e+01 |
 7000 | 5.57e-13 1.09e-03 | -2.6961e+02 -2.6128e+02 1.57e-02 | 474.2 | 3.0e+01 |
 7100 | 7.25e-13 1.07e-03 | -2.7004e+02 -2.6169e+02 1.57e-02 | 481.0 | 3.2e+01 |
 7200 | 8.76e-13 1.07e-03 | -2.7048e+02 -2.6158e+02 1.67e-02 | 486.3 | 3.4e+01 |
 7300 | 7.07e-13 9.97e-04 | -2.7095e+02 -2.6242e+02 1.59e-02 | 493.8 | 3.5e+01 |
 7400 | 5.66e-13 9.60e-04 | -2.7128e+02 -2.6349e+02 1.45e-02 | 501.1 | 3.7e+01 |
 7500 | 8.17e-13 9.59e-04 | -2.7166e+02 -2.6332e+02 1.56e-02 | 508.4 | 3.9e+01 |
 7600 | 6.67e-13 9.59e-04 | -2.7206e+02 -2.6334e+02 1.62e-02 | 515.4 | 4.1e+01 |
 7700 | 6.88e-13 9.59e-04 | -2.7247e+02 -2.6336e+02 1.70e-02 | 522.4 | 4.3e+01 |
 7800 | 6.42e-13 9.50e-04 | -2.7291e+02 -2.6355e+02 1.74e-02 | 529.3 | 4.5e+01 |
 7900 | 9.43e-13 9.10e-04 | -2.7330e+02 -2.6426e+02 1.68e-02 | 534.7 | 4.7e+01 |
 8000 | 1.16e-12 9.09e-04 | -2.7378e+02 -2.6400e+02 1.82e-02 | 542.0 | 5.0e+01 |
 8100 | 8.88e-13 9.09e-04 | -2.7424e+02 -2.6436e+02 1.83e-02 | 549.4 | 5.2e+01 |
 8200 | 8.06e-13 9.09e-04 | -2.7470e+02 -2.6434e+02 1.92e-02 | 555.9 | 5.5e+01 |
 8300 | 8.21e-13 8.56e-04 | -2.7520e+02 -2.6463e+02 1.95e-02 | 563.0 | 5.7e+01 |
 8400 | 1.02e-12 7.35e-04 | -2.7559e+02 -2.6581e+02 1.80e-02 | 569.9 | 6.0e+01 |
 8500 | 1.06e-12 7.18e-04 | -2.7590e+02 -2.6683e+02 1.67e-02 | 576.8 | 6.3e+01 |
 8600 | 1.24e-12 7.10e-04 | -2.7624e+02 -2.6750e+02 1.60e-02 | 582.3 | 6.6e+01 |
 8700 | 1.02e-12 7.07e-04 | -2.7660e+02 -2.6794e+02 1.59e-02 | 589.6 | 7.0e+01 |
 8800 | 1.22e-12 7.06e-04 | -2.7699e+02 -2.6822e+02 1.60e-02 | 596.8 | 7.3e+01 |
 8900 | 1.35e-12 7.05e-04 | -2.7739e+02 -2.6840e+02 1.64e-02 | 603.8 | 7.7e+01 |
 9000 | 1.16e-12 7.05e-04 | -2.7782e+02 -2.6851e+02 1.70e-02 | 611.1 | 8.1e+01 |
 9100 | 1.33e-12 7.05e-04 | -2.7827e+02 -2.6858e+02 1.77e-02 | 618.1 | 8.5e+01 |
 9200 | 1.27e-12 7.05e-04 | -2.7874e+02 -2.6862e+02 1.84e-02 | 624.6 | 8.9e+01 |
 9300 | 1.88e-12 6.50e-04 | -2.7929e+02 -2.7011e+02 1.67e-02 | 630.1 | 9.3e+01 |
 9400 | 1.62e-12 6.52e-04 | -2.7966e+02 -2.6962e+02 1.83e-02 | 637.5 | 9.8e+01 |
 9500 | 1.68e-12 6.51e-04 | -2.8007e+02 -2.6977e+02 1.87e-02 | 644.5 | 1.0e+02 |
 9600 | 2.11e-12 6.50e-04 | -2.8053e+02 -2.7010e+02 1.89e-02 | 651.6 | 1.1e+02 |
 9700 | 1.88e-12 5.20e-04 | -2.8101e+02 -2.7132e+02 1.75e-02 | 658.6 | 1.1e+02 |
 9800 | 2.12e-12 4.96e-04 | -2.8105e+02 -2.7717e+02 6.92e-03 | 665.5 | 1.2e+02 |
 9900 | 1.82e-12 4.85e-04 | -2.8170e+02 -2.7391e+02 1.40e-02 | 672.4 | 1.3e+02 |
 10000 | 2.09e-12 4.81e-04 | -2.8168e+02 -2.7511e+02 1.18e-02 | 677.5 | 1.3e+02 |
 10100 | 2.10e-12 4.82e-04 | -2.8229e+02 -2.7528e+02 1.26e-02 | 685.2 | 1.4e+02 |
 10200 | 2.14e-12 4.82e-04 | -2.8247e+02 -2.7440e+02 1.45e-02 | 692.3 | 1.4e+02 |
 10300 | 3.37e-12 4.82e-04 | -2.8293e+02 -2.7548e+02 1.33e-02 | 699.1 | 1.5e+02 |
 10397 | 2.70e-12 1.89e-04 | -2.8382e+02 -2.8373e+02 1.59e-04 | 706.1 | 1.6e+02 |

 -------------------------------------------------------------------------------

Solver ended: converged.

 primal infeasibility = 2.7e-12 
 dual   infeasibility = 1.9e-04 
 relative gap         = 1.6e-04
 primal objective = -2.83820530e+02 
 dual   objective = -2.83730194e+02

 time per iteration = 0.0679s 
 total time         = 706.1s
 -------------------------------------------------------------------------------
